,target,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5,rank
2186,CCOC(=O)[C@H]1C[C@@H]1c1ccccc1,COC(=O)[C@H]1C[C@@H]1c1ccccc1,O=C(OCc1ccccc1)[C@H]1C[C@@H]1c1ccccc1,CCOC(=O)[C@H]1C[C@@H]1c1ccccc1,COC(=O)C1CC1c1ccccc1,O=C(O)[C@H]1CC1c1ccccc1,3
2187,CCCc1nc(C(C)O)c(C(=O)OCC)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,CCCc1nc(C(C)=O)c(C(=O)OC)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,CCCc1nc(C(C)O)c(C(=O)OC)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,CCCc1nc(C(C)=O)c(C(=O)OCC)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,CCCC=NC(C(C)=O)=C(NCc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)C(=O)OC,CCCc1nc(C(C)=O)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,0
2188,CC(C)(C)OC(=O)C(C)(C)Sc1ccc(CN(Cc2ccco2)Cc2nnc(-c3ccccc3)o2)cc1,CC(C)(C)OC(=O)C(C)(C)Sc1ccc(CN(Cc2ccco2)Cc2nnc(-c3ccccc3)o2)cc1,COC(=O)C(C)(C)Sc1ccc(CN(Cc2ccco2)Cc2nnc(-c3ccccc3)o2)cc1,CCOC(=O)C(C)(C)Sc1ccc(CN(Cc2ccco2)Cc2nnc(-c3ccccc3)o2)cc1,CC(C)(C)OC(=O)C(C)(C)Sc1ccc(CN(Cc2ccco2)Cc2nnc(-c3ccccc3)o2)cc1,CC(C)(C)OC(=O)C(C)(C)SC=CC=C1C=Cc2ccoc2CN(Cc2nnc(-c3ccccc3)o2)C1,1
2189,CCOC(=O)c1ncc2onc(-c3ccccc3)c2c1O.C[C@H](N)C(=O)O,C[C@H](N)C(=O)O.O=C(O)c1cc2c(-c3ccccc3)noc2cn1,C[C@H](NC(=O)c1ncc2onc(-c3ccccc3)c2c1O)C(=O)OC(C)(C)C,COC(=O)[C@H](C)NC(=O)c1cc2c(-c3ccccc3)noc2cn1,COC(=O)[C@H](C)NC(=O)c1cc2c(-c3ccccc3)noc2cn1.N[C@@H](O)C(=O)O,CCOC(=O)[C@H](C)NC(=O)c1ncc2onc(-c3ccccc3)c2c1O,0
2190,BrCCCBr.COc1cc(C)ccc1O,BrCCCBr.COc1cc(C)ccc1O,COc1cc(C)ccc1O.OCCCBr,COc1cc(C)ccc1O.ClCCCBr,BrC(Br)(Br)Br.COc1cc(C)ccc1O,BrCCCI.COc1cc(C)ccc1O,1
2191,CC(C)(C)Sc1nc(Br)c2c(N)nccn12.CC1(C)OB(c2ccc3ccc(-c4ccccc4)nc3c2F)OC1(C)C,C=c1nc(Cl)ccc1=CC=CC(N=CSC(C)(C)C)OF.OB(O)c1ccccc1,CC(C)(C)Sc1nc(Br)c2c(N)nccn12.OB(O)c1ccc2ccc(-c3ccccc3)nc2c1F,CC(C)(C)SC=NC(F)c1ccc2ccc(Cl)nc2c1.OB(O)c1ccccc1,C=c1nc(Cl)ccc1=CC=CC(N=CSC(C)(C)C)OF.OB(O)c1ccccc1,C=c1nc(Cl)ccc1=CC=CC(N=CSC(C)(C)C)OF.OB(O)c1ccccc1,0
2192,O=C(Cl)c1cccc(Cl)c1.O=C1C(=O)c2ccc(-c3ccncc3)cc2C2=C1SCC1(CCNCC1)O2,O=C(Cl)c1cccc(Cl)c1.O=C1C(=O)c2ccc(-c3ccncc3)cc2C2=C1SCC1(CCNCC1)O2,O=C(O)c1cccc(Cl)c1.O=C1C(=O)c2ccc(-c3ccncc3)cc2C2=C1SCC1(CCNCC1)O2,O=C(c1cccc(Cl)c1)N1CCC(O)CC1.O=C1C(=O)c2ccc(-c3ccncc3)cc2C2=C1SCC1(CCNCC1)O2,O=C(Cl)c1cccc(Cl)c1.O=C(c1cccc(Cl)c1)N1CCC2OCCOc3cc(-c4ccncc4)ccc3C2C1,O=C1c2ccc(Br)cc2SCC2CCN(C(=O)c3cccc(Cl)c3)CC12.O=CC(=O)c1ccc(-c2ccncc2)cc1,1
2193,CCOC(=O)CN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C[C@H]1C,COC(=O)CN1C(=O)[C@H](NC(=O)OC(C)(C)C)C[C@H]1C,COC(=O)CN1C(=O)[C@H](NC(=O)OC(C)(C)C)C[C@@H]1C,COC(=O)CN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C[C@H]1C,CCOC(=O)CN1C(=O)[C@H](NC(=O)OC(C)(C)C)C[C@H]1C,C[C@@H]1C[C@H](NC(=O)OC(C)(C)C)C(=O)N1CC(=O)OCc1ccccc1,0
2194,CC(=O)Nc1ccc(-c2nc(SCc3cccc(CNC(=O)OC(C)(C)C)n3)nc(N)c2C#N)cc1,C=CC(C=NC1CN=C(C#N)[SH]1CC=CC=CC(CN1C(=O)c2ccccc2C1=O)=NC)=CC=CNC(C)=O,CC(=O)NC=CC=Cc1nc(SCc2cccc(C#N)n2)nc(N)c1C#N,CC(=O)NC=CC=Cc1nc(SCc2cccc(C#N)n2)nc(N)c1C#N,CN=C(C=CC=CC[SH]1C(C#N)=NCC1N=CC1=C(C=CNC(C)=O)C1)CN1C(=O)c2ccccc2C1=O,CC(C)(C)OC(=O)Nc1nc(SCc2cccc(C#N)n2)nc(C2=CC=CNC(=O)C2)c1C#N,0
2195,CC1(NC(=O)OCc2ccccc2)CCNCC1.N#Cc1ccc(Cl)nc1,CC1(NC(=O)OCc2ccccc2)CCNCC1.N#Cc1ccc(Cl)nc1,CC1(NC(=O)OCc2ccccc2)CCNCC1.N#Cc1ccc(F)nc1,CCNCC[C@H](C)NC(=O)OCc1ccccc1.N#Cc1ccc(Cl)nc1,CC1(N)CCN(c2ccc(C#N)cn2)CC1.O=C(Cl)OCc1ccccc1,N#Cc1ccc(Cl)nc1.O=C(NC1CCCNCC1)OCc1ccccc1,1
2196,CCN1CCC(C2CCN(C(=O)OCc3ccccc3)CC2)CC1,CCN1CCC(c2ccncc2)CC1,CCN1CCC(C2CCN(C(=O)OC(C)(C)C)CC2)CC1,CCN1CCC(C2=CCN(C(=O)OC(C)(C)C)CC2)CC1,CCN1CCC(C2CCNCC2)CC1,CCNC1CCCC(c2ccncc2CCN(C)Cc2ccccc2)C1,0
2197,CCOC(=O)Cl.c1ccc2[nH]nnc2c1,CCOC(=O)Cl.c1ccc2[nH]nnc2c1,C#COC(=O)OCC.c1ccc2[nH]nnc2c1,BrC1N=Nc2ccccc21.CCOC(=O)Cl,CCOC(=O)Cl.c1ccc2[nH]nnc2c1,O=C(Cl)n1nnc2ccccc21.[NH4+],1
2198,CC1COc2c(F)c(F)cc3c(=O)c(C(=O)O)cn1c23.Clc1cccc2c1CNC2,CC1COc2c(F)c(F)cc3c(=O)c(C(=O)O)cn1c23.Clc1cccc2c1CNC2,CC1COc2c(F)c(F)cc3c(=O)c(C(=O)O)cn1c23.Clc1ccc2c(c1)CNC2,CC1COc2c(Cl)c(F)cc3c(=O)c(C(=O)O)cn1c23.Clc1cccc2c1CNC2,CC1COc2c(F)c(F)cc3c(=O)c(C(=O)O)cn1c23.CNCc1ccccc1Cl,CC1COc2c(Cl)c(F)cc3c(=O)c(C(=O)O)cn1c23.Clc1ccc2c(c1)CNC2,1
2199,CN(C)CCN.Clc1ccc2nc(NCCOc3ccccc3)ccc2c1,CN(C)CCNc1ccc2nc(Cl)ccc2c1.NCCOc1ccccc1,CN(C)CCNc1ccc2nc(O)ccc2c1.NCCOc1ccccc1,CN(C)CCNc1ccc2nc(I)ccc2c1.NCCOc1ccccc1,BrCCOc1ccccc1.CN(C)CCNc1ccc2nc(N)ccc2c1,CN(C)CCNc1ccc2nc(Br)ccc2c1.NCCOc1ccccc1,0
2200,COc1ccc(S(=O)(=O)N2c3cc(F)ccc3-c3ccccc3C2C)cc1,COc1ccc(S(=O)(=O)N2c3cc(F)ccc3-c3ccccc3C2C)cc1,C#CC(F)=CC=Cc1ccccc1C(C)NS(=O)(=O)C1=CC(=COCC)C=C1,C=CCC1c2ccccc2-c2ccc(F)cc2N1S(=O)(=O)C1=CC=COCC1,C#CC(F)=CC=Cc1ccccc1C(C)NS(=O)(=O)C1=CC(=COCC)C=C1,CCOc1ccc(S(=O)(=O)NC(C)c2ccccc2-c2ccc(F)cc2)cc1,1
2201,COc1cc(C(=O)O)ccn1.Nc1ccccc1,COc1cc(C(=O)O)ccn1.Nc1ccccc1,COC(=O)c1ccnc(OC)c1.Nc1ccccc1,CN(C)C=O.COc1cc(C(=O)O)ccn1,COc1cc(C(=O)Cl)ccn1.Nc1ccccc1,CN(C)C=O.O=C(Nc1ccccc1)c1ccnc(Cl)c1,1
2202,Clc1nnc(Cl)c2c1CCC2.Fc1ccc(C[Zn+])cc1,Clc1nnc(Cl)c2c1CCC2.OB(O)Cc1ccc(F)cc1,Clc1nnc(Cl)c2c1CCC2.Fc1ccc(CBr)cc1,Fc1ccc(Cc2nnc(Cl)c3c2CCC3)cc1,C#CC(F)=CC=CCC(=O)CCC.Clc1nnc(Cl)c2c1CCC2,C#CC1CCc2c(CC#CC=CF)nnc(Cl)c21,0
2203,CC(C)[Si](OCCCCN1C(=O)COc2ccc(CCl)cc21)(C(C)C)C(C)C.COc1ccccc1COCCCOc1ccc(C2CCN(C(=O)OCc3ccccc3)CC2O)cc1,CC[Si](OCCCCN1c2cc(CCl)ccc2CN1CCCCO[Si](CC(C)C)C(C)C)C(C)C.COc1ccccc1COCCCOC=C1C=COC(C2CCN(C(=O)OCc3ccccc3)CC2)=C1,CC(C)C1C(C)CC(=O)COc2ccc(cc2NCCCCO[Si])-c2cc(CCl)ccc2CNCCCCO[Si](C(C)C)C1C.COc1ccccc1COCCCOC=C1C=COC(C2CCN(C(=O)OCc3ccccc3)CC2)=C1,CC(C)CC[Si](OCCCCNC1Cc2ccc(CCl)cc2N1CCCCO[Si](C)C(C)C)C(C)C.COc1ccccc1COCCCOC=C1C=COC(C2CCN(C(=O)OCc3ccccc3)CC2)=C1,CC(C)[Si]1(C(C)C)(C(C)C)OCCCCNCCOc2ccc(CCl)cc2-c2ccc(c(NCCCCO[Si])c2)OCC(=O)CC1C.COc1ccccc1COCCCOC=C1C=COC(C2CCN(C(=O)OCc3ccccc3)CC2)=C1,CCC[Si](OCCCC1NCc2ccc(CCl)cc2C1CO[Si](C)(C(C)C)C(C)C)C(C)C.COc1ccccc1COCCCOC=C1C=COC(C2CCN(C(=O)OCc3ccccc3)CC2)=C1,0
2204,CS(=O)(=O)C1CCN(Cc2cc3c(N4CCOCC4)nc(Cl)nc3s2)CC1.Nc1ncc(B(O)O)cn1,CC1(C)OB(c2cnc(N)nc2)OC1(C)C.C[SH]1C(CN2CCC(S(C)(=O)=O)C2)=Cc2c(N3CCOCC3)nc(Cl)nc21,CS(=O)(=O)C1CCNCC1.Nc1ncc(-c2nc(N3CCOCC3)c3cc(CBr)sc3n2)cn1,CS(=O)(=O)C1CCNCC1.Nc1ncc(-c2nc(N3CCOCC3)c3cc(CCl)sc3n2)cn1,CC1(C)OB(c2cnc(N)nc2)OC1(C)C.CS(=O)(=O)C1CCN(Cc2cc3c(N4CCOCC4)nc(Cl)nc3s2)CC1,CS(=O)(=O)C1CCNCC1.N=C1SC(CBr)=CC1=C(N=Cc1[pH]cnc1N=CN)N1CCOCC1,0
2205,COc1cc2c(cc1OC)C1CC(=O)C3CCCCC3N1CC2.[Mg+]c1ccccc1,COc1cc2cc(c1OC)CCNC(=O)CC2.[Mg+]c1ccccc1,COc1cc2cc(c1OC)CCNC1CCCCC1C2CC(O)c1ccccc1,CCNC1CCCCC1C(CCc1ccc(OC)c(OC)c1)(OC(=O)c1ccccc1)C1CCCCC1,CCNC1CCCCC1C(CCc1ccc(OC)c(OC)c1)(OC(=O)c1ccccc1)C1CCCCC1,CCNC1CCCCC(c2ccc(OC)c(OC)c2)C(O)(c2ccccc2)C1,0
2206,CC(C)(C)OC(=O)N[C@@H]1CC[C@@H](c2cccc(F)c2F)Cn2c(CCO)cnc21.CI,CC(C)(C)OC(=O)N[C@@H]1CC[C@@H](c2cccc(F)c2F)CNC1.COCCc1cnc[nH]1,CC(C)(C)OC(=O)N1CCC[C@@H](c2cccc(F)c2F)C1.COCCc1cnc[nH]1,CC(C)(C)OC(=O)N[C@@H]1CC[C@@H](c2cccc(F)c2F)CNC1=O.COCCc1cnc[nH]1,CC(C)(C)OC(=O)N[C@@H]1CC[C@@H](c2cccc(F)c2F)C1.COCCc1cnc[nH]1,COC#Cc1cnc2n1C[C@H](c1cccc(F)c1F)CC[C@H]2NC(=O)OC(C)(C)C,0
2207,CC(C)N(C(=O)c1cc2c(cc1C(F)(F)F)OC(C)(C)C(=O)N2CCNC(=O)C(F)F)[C@@H]1CC[C@H](CCNC2CC2)N(C(=O)OC(C)(C)C)C1.O=C(O)Cc1ccc(Cl)cc1,C=CCNCC[C@H]1CC[C@@H](N(C(=O)c2cc3c(cc2C(F)(F)F)OC(C)(C)C(=O)N3CCNC(=O)C(F)F)C(C)C)CCC(C)(C)OC(=O)C1.O=C(Cl)Cc1ccc(Cl)cc1,CC(C)N(CCC[C@H](CCN1CC1)N(C)C(=O)OC(C)(C)C)C(=O)c1cc2c(cc1C(F)(F)F)OC(C)(C)C(=O)N2CCNC(=O)C(F)F.O=C(Cl)Cc1ccc(Cl)cc1,CC(C)N(C(=O)c1cc2c(cc1C(F)(F)F)OC(C)(C)C(=O)N2CCNC(=O)C(F)F)[C@@H]1CC[C@H](CCN(C(=O)Cc2ccc(Cl)cc2)C2CC2)N(C(=O)OC(C)(C)C)C1.O=C(Cl)Cc1ccc(Cl)cc1,CCNCC[C@@H](CCCN(C(=O)c1cc2c(cc1C(F)(F)F)OC(C)(C)C(=O)N2CCNC(=O)C(F)F)C(C)C)N(C)C(=O)OC(C)(C)C.O=C(Cl)Cc1ccc(Cl)cc1,C=CCNCC[C@H]1CC[C@@H](N(C(=O)c2cc3c(cc2C(F)(F)F)OC(C)(C)C(=O)N3CCNC(=O)C(F)F)C(C)C)CN1C(=O)OC(C)(C)C.O=C(Cl)Cc1ccc(Cl)cc1,0
2208,C/C(=C\CO)c1ccc(-c2ccc(C(C)C)cc2)cc1.CCOC(=O)[C@H](Cc1ccc(O)cc1)OCC,C/C(=C\CO)c1ccc(-c2ccc(C(C)C)cc2)cc1.CCOC(=O)[C@H](Cc1ccc(O)cc1)OCC,C/C(=C/CO)c1ccc(-c2ccc(C(C)C)cc2)cc1.CCOC(=O)[C@H](Cc1ccc(O)cc1)OCC,CC/C(=C\CO)c1ccc(-c2ccc(C(C)C)cc2)cc1.CCOC(=O)[C@H](Cc1ccc(O)cc1)OCC,C/C(=C\CBr)c1ccc(-c2ccc(C(C)C)cc2)cc1.CCOC(=O)[C@H](Cc1ccc(O)cc1)OCC,C/C(=C\C=O)c1ccc(-c2ccc(C(C)C)cc2)cc1.CCOC(=O)[C@H](Cc1ccc(O)cc1)OCC,1
2209,CCOC(=O)c1cnc(SC)nc1NC1(c2ccccc2)CC1,CCOC(=O)c1cnc(SC)nc1NC1(c2ccccc2)CC1,COC(=O)c1cnc(SC)nc1NC1(c2ccccc2)CC1,CSc1ncc(C(=O)OC(C)(C)C)c(NC2(c3ccccc3)CC2)n1,COC(=O)c1cnc(SC)nc1NC1(c2ccccc2)CC1,CCOC(=O)c1cnc(SC)nc1NC1(c2ccccc2)CC1,1
2210,CC(C)(C)OC(=O)NCCCCCC=O.O=C(O)[C@H]1CCCCN1,CC(C)(C)OC(=O)NCCCCCCBr.O=C(O)[C@H]1CCCCN1,CC(C)(C)OC(=O)NCCCCCCBr.O=C(O)[C@@H]1CCCCN1,COC(=O)[C@H]1CCCCN1CCCCCCNC(=O)OC(C)(C)C,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.NCCCCCCN1CCCC[C@@H]1C(=O)O,CCOC(=O)[C@H]1CCCCN1CCCCCCNC(=O)OC(C)(C)C,0
2211,CCCCN(CCCC)c1ccc(C=CC2=C(OC)C(=O)CC(C)(C)C2)c(OC)c1.CCOP(=O)(CC#N)OCC,CCCCN(CCCC)c1ccc(C=CC2=C(OC)C(=CC#N)CC(C)(C)C2)c(OC)c1.CCOP(=O)(CC#N)OCC,CCCCN(C=C1C=C(C=CC=C(OC)C(=CC#N)CC2(C)CC2)NC(OC)=C1)CCCC.CCOP(=O)(CC#N)OCC,CCCCN(CCCC)c1ccc(C=C2C=C(OC)C(=CC#N)CC(C)(C)C2)c(OC)c1.CCOP(=O)(CC#N)OCC,CCCCN(CCCC)c1ccc(C=CC2=C(OC)C(=CC#N)CC(C)(C)C2)c(OC)c1.CI,CCCCN(CCCC)c1ccc(C=CC=C(OC)C(=CC#N)CC(C)(C)C)c(OC)c1.CCOP(=O)(CC#N)OCC,0
2212,CC(C)(C)OC(=O)NC(C(=O)O)c1cccc(Br)c1.CI,CCOC(=O)N(C)C(C)(Cc1cccc(Br)c1)C(=O)OCC,CC(C)(C)OC(=O)NC(C(=O)O)c1cccc(Br)c1.CI,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.CNC(C(=O)O)c1cccc(Br)c1,CN(C(=O)OC(C)(C)C)C(C(=O)O)c1cccc(Br)c1,CCOC(=O)C(Cc1cccc(Br)c1)N(C)C(=O)OC(C)C,2
2213,CCC(=O)Cl.O=S(=O)(c1ccccc1)n1cc(-c2cnn(C3CCNCC3)c2)c2ccc(F)cc21,C=C1CNCCC1N1N=CCC2=C3NS(=O)(=O)c4ccccc4C(=CC2F)C(=CC)C3O1.CCC(=O)Cl,CCC(=O)Cl.O=S(=O)(c1ccccc1)N1C=C2CC=C(F)C=C1Cc1c2cnn1C1CCNCC1,C=C1CNCCC1N1N=CCC2=C(NS(=O)(=O)c3ccccc3)C(O1)C(=CC)C=CC2F.CCC(=O)Cl,C=C1CNCCC1N1N=CCC2=C3C(O1)C(=CC)C(=CC2F)N3S(=O)(=O)c1ccccc1.CCC(=O)Cl,CCC(=O)Cl.O=S(=O)(c1ccccc1)n1cc(-c2cnn(C3CCNCC3)c2)c2ccc(F)cc21,5
2214,CC(C)(C)C(=O)CBr.CCc1cc2c(=O)[nH]c(=O)n(Cc3ccc(-c4ccccc4C#N)cc3)c2s1,CC(C)(C)C(=O)CBr.CC1C=C2CC(=O)NC(=O)N(Cc3ccc(-c4ccccc4C#N)cc3)C2S1,CC(C)(C)C(=O)CBr.CCC1=C2CC(=O)NC(=O)N(Cc3ccc(-c4ccccc4C#N)cc3)C2S1,CC(C)(C)C(=O)CBr.CCC=C1CC(=O)NC(=O)N(Cc2ccc(-c3ccccc3C#N)cc2)CS1,CC(C)(C)C(=O)CBr.CCC=C1CC(=O)NC(=O)N(Cc2ccc(-c3ccccc3C#N)cc2)CS1,CC(C)(C)C(=O)CBr.CCc1cc2c(=O)[nH]c(=O)n(Cc3ccc(-c4ccccc4C#N)cc3)c2s1,5
2215,CN.Fc1cncc(Br)c1,Brc1cncc(Br)c1.CN,CI.Nc1cncc(Br)c1,C=O.Nc1cncc(Br)c1,CN(C(=O)c1ccccc1)c1cncc(Br)c1,CN.Clc1cncc(Br)c1,0
2216,CCCN(Cc1ccc(OCc2nc(-c3ccccc3)oc2C)cc1)c1nc(-c2ccccc2)c(CCC(=O)OC)s1,CCCN(C=NC(=C(S)CCC(=O)O)c1ccccc1)Cc1ccc(OCc2nc(-c3ccccc3)oc2C)cc1,CCCN(C=NC(=C(S)CCC(=O)OCC)c1ccccc1)Cc1ccc(OCc2nc(-c3ccccc3)oc2C)cc1,CCCN1C=NC(c2ccccc2)=C(CCC(=O)OCC)Sc2cc(ccc2OCc2nc(-c3ccccc3)oc2C)C1,CCCN(C=NC(=C(S)CCC(=O)OC)c1ccccc1)Cc1ccc(OCc2nc(-c3ccccc3)oc2C)cc1,CCCN1C=NC(c2ccccc2)=C(CCC(=O)OC)Sc2cc(OCc3nc(-c4ccccc4)oc3C)ccc2C1,0
2217,NCc1ccccc1.O=C(Cl)N1c2ccccc2CCc2ccccc21,NCc1ccccc1.O=C=Nc1ccccc1CCc1ccccc1,O=C=NCc1ccccc1.c1ccc2c(c1)CCc1ccccc1N2,O=C=NCc1ccccc1.c1ccc2c(c1)CCc1ccccc1N2,O=C=NCc1ccccc1.c1cc2cc(c1)Nc1ccccc1CC2,O=C=NCc1ccccc1.c1ccc2c(c1)CCc1ccccc1N2,0
2218,Cc1cc(=O)oc2cc(OCC(=O)NCCCCONC(=O)OC(C)(C)C)ccc12,Cc1cc(=O)oc2cc(OCC(=O)O)ccc12.NCCCCO,NCCCCO.O=C(O)COc1ccc2c(c1)OC(=O)C=CC2,CCOC(=O)OCCCCNC(=O)COC1C=c2oc(=O)cc(C)c2=CC=CCC1,Cc1cc(=O)oc2cc(OCC(=O)O)ncc12.NCCCCO,CCOC(=O)OCCCCNC(=O)COC1C=COC(=O)C=CCC=CC=CC1,0
2219,Cc1csc(C(=O)c2cn(C(c3ccccc3)(c3ccccc3)c3ccccc3)cn2)c1C,Cc1csc(C(=O)c2cn(C(c3ccccc3)(c3ccccc3)c3ccccc3)cn2)c1C,CC1=CSCC(=O)C=CN(C(c2ccccc2)(c2ccccc2)c2ccccc2)C=NC1C,Cc1csc(C(O)c2cn(C(c3ccccc3)(c3ccccc3)c3ccccc3)cn2)c1C,CC(=O)c1cn(C(c2ccccc2)(c2ccccc2)c2ccccc2)cn1.Cc1csc([Mg+])c1C,CC1=CSCC(O)C=CN(C(c2ccccc2)(c2ccccc2)c2ccccc2)C=NC1C,1
2220,NNc1ccccc1.O=C(Cl)C1CCC1,NNc1ccccc1.O=C(Cl)C1CCC1,NNc1ccccc1.O=C(O)C1CCC1,NNc1ccccc1.O=C(OO)C1CCC1,NNc1ccccc1.O=C(CCl)C1CCC1,NNc1ccccc1.O=C(CBr)C1CCC1,1
2221,CCOC(=O)c1cnc(Cl)c2c(COc3cccc(-c4nnn(Cc5ccc(OC)cc5)n4)c3)csc12.N,CCOC(=O)c1cnc(N)c2c(CBr)csc12.COc1ccc(Cn2nnc(-c3cccc(O)c3)n2)cc1,CCOC(=O)c1cnc(Cl)c2c(COc3cccc(-c4nnn(Cc5ccc(OC)cc5)n4)c3)csc12.N,CCOC(=O)c1cnc(N)c2c(CBr)csc12.CN=C(N=NNCC(C)=CC=COC)c1cccc(O)c1,CCOC(=O)c1cnc(Cl)c2c(CO)csc12.COc1ccc(Cn2nnc(-c3cccc(O)c3)n2)cc1,CCOC(=O)c1cnc(Cl)c2c(CBr)csc12.COc1ccc(Cn2nnc(-c3cccc(O)c3)n2)cc1,2
2222,CC(O)/C=C\[Si](C)(C)C,CC(=O)C=P(C)(C)C.C[Si](C)(C)C=O,CC(=O)C=P(C)(C)C.C[Si](C)(C)=CC=O,CC(=O)C=P(C)(C)C.C[Si](C)(C)Cl,CC(=O)C=P(C)(C)C.C[Si](C)(C)/C=C\I,CC(=O)C=P(C)(C)C.C[Si](C)(C)=C=O,0
2223,N=C(N)COCCc1ccc(Cl)cc1.O=C(O)c1cc(Cl)cnc1Cl,N=C(N)COCCc1ccc(Cl)cc1.O=C(Cl)c1cc(Cl)cnc1Cl,N=C(N)COCCc1ccc(Cl)cc1.O=C(O)c1cc(Cl)cnc1Cl,N=C(CN)NC(=O)c1cc(Cl)cnc1Cl.O=C(Cl)COCCc1ccc(Cl)cc1,N=C(CCl)NC(=O)c1cc(Cl)cnc1Cl.OCCc1ccc(Cl)cc1,N=C(CN)NC(=O)c1cc(Cl)cnc1Cl.O=C(O)COCCc1ccc(Cl)cc1,2
2224,CC=C[C@H]1CN[C@@H](CC(C)C)C(=O)N1.O=C(O)c1cc(-c2ccc(F)cc2)on1,CC=C[C@H]1CN[C@@H](CC(C)C)C(=O)N1.O=C(O)c1cc(-c2ccc(F)cc2)on1,C/C=C/[C@H]1CN[C@@H](CC(C)C)C(=O)N1.O=C(O)c1cc(-c2ccc(F)cc2)on1,CS(C)=O.O=C[C@H]1CN(N2OC(=O)C2C=Cc2ccc(F)cc2)C(=O)N1,CC=C[C@H]1CN(C(=O)c2cc(-c3ccc(F)cc3)on2)[C@@H](CC(C)C)C(=O)N1.CS(C)=O,CC=C[C@H]1CN(C(=O)c2cc(-c3ccc(F)cc3)on2)[C@@H](CC(C)C)C(=O)N1.CC=P(c1ccccc1)(c1ccccc1)c1ccccc1,1
2225,Cc1nn(COCC[Si](C)(C)C)c2cc([N+](=O)[O-])ccc12,Cc1nn(COCC[Si](C)(C)C)c2cc([N+](=O)[O-])ccc12,CC=NN(COCC[Si](C)(C)C)c1cccc([N+](=O)[O-])c1,CC=NN(COCC[Si](C)(C)C)c1cccc([N+](=O)[O-])c1,CC=CC[Si](C)(C)CCOCN(N=CC)[N+](=O)[O-],CC=NN(COCC[Si](C)(C)C)c1cccc([N+](=O)[O-])c1,1
2226,CCOC(=O)C1CCN(CCn2cccc(-c3ccc(C(=O)OCc4ccccc4)cc3)c2=O)CC1,CCOC(=O)C1CCN(CCn2cccc(-c3ccc(C(=O)OC)cc3)c2=O)CC1,CCOC(=O)C1CCON(CCN2C=CC=C(c3ccc(C(=O)OC)cc3)C2)CC1,CCOC(=O)CC1CCON(CCN2C=CC=C(c3ccc(C(=O)OC)cc3)C2)C1,CCOC(=O)CCCN(P)CCn1cccc(Br)c1=O.O=C(O)c1ccc(B(O)O)cc1,COC(=O)c1ccc(C(=CC=CNCCN2CCCC(=O)OCC2)[SH]=O)c(C)c1,0
2227,C[Zn+].O=C(Cl)c1cc([N+](=O)[O-])c(F)cc1Cl,CC(O)c1cc([N+](=O)[O-])c(F)cc1Cl,CON(C)C(=O)c1cc([N+](=O)[O-])c(F)cc1Cl,CC(=O)Cl.O=[N+]([O-])c1cc(O)c(Cl)cc1F,CC(=O)Cl.O=[N+]([O-])c1ccc(Cl)c(Cl)c1,CC(Cl)c1cc([N+](=O)[O-])c(F)cc1Cl.O=C([O-])[O-],0
2228,CCOC(=O)c1cc([C@H]2CCCNC2)ccc1C.Cc1nc(-c2ccc(C(F)(F)F)cc2)sc1C(=O)O,CCOC(=O)c1cc([C@H]2CCCNC2)ccc1C.Cc1nc(-c2ccc(C(F)(F)F)cc2)sc1C(=O)O,CCOC(=O)c1cc([C@H]2CCCNC2)ccc1C.Cc1nc(-c2ccc(C(F)(F)F)cc2)sc1C(=O)Cl,CCOC(=O)c1cc([C@H]2CCC[NH2+]C2)ccc1C.Cc1nc(-c2ccc(C(F)(F)F)cc2)sc1C(=O)O,CC=CN(CCCCC(C=CC(=O)OCC)=CC)C(=O)C1(Cl)CC1.Cc1nc(-c2ccc(C(F)(F)F)cc2)sc1C(=O)O,C=C(C(=O)O)C(C)=CC=C[C@H]1CCCN(C(=O)c2sc(-c3ccc(C(F)(F)F)cc3)nc2C)C1.CCO,1
2229,COc1cc2nc(NC3CCN(C(=O)OC(C)(C)C)CC3)nc(OC)c2cc1OC,COc1cc2nc(NC3CCN(C(=O)OC(C)(C)C)CC3)nc(OC)c2cc1OC,C=CN(CCCNC1N=CC(=COC)C(OC)=CC=C(OC)N=[SH]1)C(=O)OCc1ccccc1,COc1cc2nc(NC3CCN(Cc4ccccc4)CC3)nc(OC)c2cc1OC,C=CN(CCCNC12N=CC(=COC)C(OC)=CC1=C(OC)N=[SH]2)C(=O)OCc1ccccc1,C=CN(CCCNC1N=C2C(=COC)C(OC)=CC2=C(OC)N=[SH]1)C(=O)OCc1ccccc1,1
